,Birth_rate,Business_Tax_Rate,Co2_Emmissions,Days_to_Start_Business,Ease_of_business,Energy_Usage,GDP,Health_Exp_percent_gdp,Health_exp_capita,Hours_to_tax,Infant_Mortality_Rate,Internet_Usage,Lending_Interest,Life_Expectancy_Female,Life_Expectancy_Male,Mobile_Phone_Usage,Population_0_14,Population_15_64,Population_65_plus,Population_Total,Population_Urban,Tourism_Inbound,Tourism_Outbound,pop
642,0.033,44.41428571428572,1335.0,37.714285714285715,131.71428571428572,1593.0,6054883172.0,0.038,174.0,278.14285714285717,0.053,0.0,0.18,61.0,58.0,0.2,0.399,0.543,0.057,1315820.0,0.822,84000000.0,239000000.0,0.9990000000000001
643,0.045,64.32857142857144,315.0,60.0,120.28571428571429,18020.0,487038678.0,0.042,15.0,249.28571428571428,0.059,0.0,0.293,57.0,55.0,0.1,0.459,0.515,0.026,1348548.0,0.506,58000000.0,8000000.0,1.0
644,0.034,50.05714285714286,7631.0,22.0,140.28571428571428,8226.0,7632720680.0,0.048,18.0,319.7142857142857,0.06,0.0,0.114,59.0,57.0,0.0,0.407,0.561,0.032,20301686.0,0.46,441000000.0,216000000.0,1.0
645,0.041,45.714285714285715,1342.0,40.0,150.71428571428572,21955.14285714286,3446442219.0,0.049,18.0,359.57142857142856,0.092,0.0,0.1377142857142857,52.0,52.0,0.0,0.438,0.529,0.033,9204581.0,0.321,1279428571.4285715,36000000.0,1.0
646,0.041,65.95714285714286,194.0,82.0,120.28571428571429,13271.57142857143,465414408.0,0.058,20.0,324.0,0.101,0.0,0.10714285714285716,53.0,51.0,0.0,0.431,0.539,0.03,1360559.0,0.392,2400000.0,21300000.0,1.0
647,0.039,40.44285714285714,6755.0,60.0,127.71428571428571,14769.0,14904504019.0,0.044,20.0,248.57142857142858,0.065,0.0,0.166,54.0,52.0,0.0,0.432,0.541,0.028,33905011.0,0.209,619000000.0,127000000.0,1.0010000000000001
648,0.03,49.35714285714287,491.14285714285717,93.0,117.0,20696.571428571428,969181551.0,0.071,36.0,225.28571428571428,0.083,0.0,0.16,44.0,44.0,0.1,0.404,0.55,0.046,1898757.0,0.211,21000000.0,242000000.0,1.0
649,0.041,53.885714285714286,532.0,32.857142857142854,121.14285714285714,6359.285714285715,409000000.0,0.034,5.0,126.71428571428571,0.097,0.0,0.171,54.0,53.0,0.0,0.432,0.537,0.03,3124222.0,0.454,446900000.0,171171428.57142857,0.9990000000000001
650,0.023,49.81428571428571,49167.0,36.714285714285715,123.0,17441.0,24062500000.0,0.041,194.0,411.85714285714283,0.022,0.0,0.07,75.0,71.0,0.0,0.315,0.644,0.041,5422612.0,0.767,243000000.0,689000000.0,1.0
651,0.039,44.37142857142857,1701.0,67.0,141.71428571428572,20212.85714285714,5474030228.0,0.048,15.0,241.28571428571428,0.061,0.0,0.243,62.0,59.0,0.0,0.452,0.518,0.029,17245275.0,0.279,119000000.0,67000000.0,0.999
652,0.043,75.6,957.0,45.0,142.71428571428572,19931.0,2424656666.0,0.063,13.0,244.57142857142858,0.084,0.0,0.489,47.0,47.0,0.0,0.461,0.509,0.03,12238739.0,0.149,66000000.0,70000000.0,1.0
653,0.048,45.57142857142857,539.0,41.0,134.14285714285714,21035.0,4362439887.0,0.062,24.0,227.57142857142858,0.105,0.0,0.10671428571428569,50.0,51.0,0.0,0.462,0.506,0.032,11219737.0,0.305,136000000.0,94000000.0,1.0
654,0.037,34.800000000000004,1474.0,82.0,142.14285714285714,16624.285714285714,1563072653.0,0.054,23.0,268.42857142857144,0.076,0.0,0.21,62.0,59.0,0.1,0.42,0.548,0.032,2965667.0,0.516,551857142.8571428,230428571.42857143,1.0
655,0.016,37.94285714285714,3146.0,36.714285714285715,141.57142857142858,18359.571428571428,5609836354.0,0.039,188.0,215.57142857142858,0.014,0.1,0.21,76.0,69.0,0.4,0.249,0.687,0.064,1222811.0,0.42,960000000.0,236000000.0,1.0
656,0.021,41.1,37561.0,36.0,113.42857142857143,11018.0,49822651702.0,0.053,88.0,258.7142857142857,0.038,0.0,0.126,70.0,67.0,0.2,0.32,0.631,0.049,29586937.0,0.543,3802000000.0,845000000.0,1.0
657,0.045,52.01428571428571,1918.0,153.0,133.28571428571428,8063.0,4666197195.0,0.064,15.0,246.42857142857142,0.099,0.0,0.247,49.0,46.0,0.0,0.444,0.525,0.032,19873460.0,0.296,106000000.0,141000000.0,1.0010000000000001
658,0.03,42.6,1874.0,85.0,141.71428571428572,1076.0,4931280096.0,0.065,162.0,291.85714285714283,0.049,0.0,0.147,56.0,52.0,0.1,0.401,0.565,0.033,1981237.0,0.347,383000000.0,101000000.0,0.999
659,0.052,45.542857142857144,880.0,35.0,142.42857142857142,19931.0,2731416281.0,0.068,15.0,291.0,0.09,0.0,0.10757142857142857,53.0,53.0,0.0,0.486,0.489,0.025,12254040.0,0.165,28000000.0,39000000.0,1.0
660,0.043,40.385714285714286,93138.0,36.0,109.14285714285714,99007.0,67655840108.0,0.075,39.0,301.85714285714283,0.103,0.0,0.207,48.0,47.0,0.0,0.435,0.538,0.028,132550146.0,0.374,58000000.0,2076000000.0,1.0010000000000001
661,0.039,81.65714285714284,682.0,18.0,141.28571428571428,15570.714285714286,1845979351.0,0.063,13.0,252.57142857142858,0.083,0.0,0.171,53.0,51.0,0.0,0.452,0.521,0.027,9126167.0,0.176,30000000.0,26000000.0,1.0
662,0.037,37.7,66.0,68.57142857142857,135.14285714285714,2872.0,101315400.0,0.118,78.0,215.42857142857142,0.052,0.1,0.296,66.0,62.0,0.0,0.426,0.534,0.04,147455.0,0.563,7400000.0,1800000.0,1.0
663,0.039,46.528571428571425,5013.0,59.0,116.14285714285714,2556.0,6858952717.0,0.054,35.0,268.7142857142857,0.062,0.0,0.108,61.0,58.0,0.1,0.445,0.524,0.032,10673535.0,0.408,269000000.0,129000000.0,1.0010000000000001
664,0.018,28.500000000000004,557.0,36.42857142857143,125.28571428571429,20696.571428571428,703096503.0,0.048,403.0,177.0,0.012,0.1,0.106,76.0,66.0,0.6,0.258,0.664,0.078,82800.0,0.506,258000000.0,54000000.0,1.0
665,0.043,54.442857142857136,653.0,26.0,123.85714285714286,18204.0,1371442566.0,0.155,45.0,199.0,0.133,0.0,0.2,41.0,40.0,0.0,0.428,0.548,0.024,4712763.0,0.364,60000000.0,38000000.0,1.0
666,0.047,80.98571428571428,576.0,20.428571428571427,71.14285714285714,22405.571428571428,148997193216.42856,0.087,2003.0,174.14285714285714,0.105,0.0,0.16285714285714287,53.0,50.0,0.0,0.476,0.495,0.029,8037706.0,0.344,6246285714.285714,4598685714.285714,1.0
667,0.023,42.15714285714286,380811.0,38.0,102.42857142857143,117374.0,168219325184.0,0.086,310.0,223.14285714285714,0.053,0.1,0.15,54.0,51.0,0.4,0.316,0.645,0.039,46409243.0,0.584,6674000000.0,3655000000.0,1.0
668,0.041,40.34285714285715,29414.14285714286,31.857142857142858,62.714285714285715,14431.285714285714,74475103439.42857,0.08528571428571428,999.2857142857143,242.71428571428572,0.095,0.38571428571428573,0.14885714285714285,51.0,49.0,0.9000000000000001,0.444,0.525,0.031,7449905.0,0.169,2504642857.142857,1930400000.0,1.0
669,0.039,47.728571428571435,9072.0,36.0,129.42857142857142,14725.0,17646271397.0,0.038,23.0,388.85714285714283,0.064,0.0,0.11442857142857144,61.0,57.0,0.0,0.435,0.535,0.03,29973979.0,0.327,17000000.0,119000000.0,1.0
670,0.032,48.62857142857143,1041.0,40.857142857142854,141.28571428571428,18232.428571428572,1854020496.0,0.058,98.0,234.71428571428572,0.082,0.0,0.146,46.0,46.0,0.1,0.43,0.539,0.031,1087929.0,0.223,70000000.0,23000000.0,1.0
671,0.042,39.77142857142858,3806.0,28.0,124.0,15491.0,11659129815.0,0.037,12.0,320.85714285714283,0.066,0.0,0.145,53.0,51.0,0.0,0.446,0.524,0.03,36760831.0,0.236,654000000.0,375000000.0,1.0
672,0.039,96.67142857142858,1463.0,65.0,139.14285714285714,2303.0,1673690390.0,0.056,18.0,277.14285714285717,0.072,0.0,0.10471428571428572,55.0,53.0,0.0,0.433,0.539,0.028,5258956.0,0.343,26000000.0,37000000.0,1.0
673,0.017,45.18571428571429,21397.0,11.0,126.14285714285714,8028.0,27453084983.0,0.054,151.0,247.28571428571428,0.022,0.1,0.10071428571428573,75.0,71.0,0.2,0.272,0.663,0.065,9839800.0,0.646,1935000000.0,355000000.0,1.0
674,0.047,47.300000000000004,1709.0,34.0,131.71428571428572,20611.85714285714,6336696289.0,0.076,18.0,263.14285714285717,0.077,0.0,0.189,51.0,51.0,0.0,0.494,0.481,0.026,26838428.0,0.125,185000000.0,126714285.71428572,1.001
